flow_id,start_point_lat,start_point_lon,via_point_1_lat,via_point_1_lon,via_point_2_lat,via_point_2_lon,end_point_lat,end_point_lon
flow_2_881,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474
flow_2_882,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10462013718466,16.876617630310452,41.10440468148953,16.876739151748147
flow_2_883,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10710990602856,16.87028076266512,41.10764547042224,16.87037051448248
flow_2_884,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10282219209128,16.8716118519074,41.10255940602009,16.871592123455162
flow_2_885,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10525531107702,16.871659522788697,41.10527065176782,16.87092044157714
flow_2_886,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10527065176782,16.87092044157714,41.104557904589925,16.87075349430906
flow_2_887,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.103532900952686,16.872347479668893,41.10351474321344,16.8729158168811
flow_2_888,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10459014355675,16.87360777204878,41.104586032558366,16.87294674119706
flow_2_889,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10428673559737,16.877531862648333,41.10433323843067,16.877513777059303
flow_2_890,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10277476335755,16.87778529520797,41.102969188850125,16.879273627171905
flow_2_891,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10877484203646,16.874159186639993,41.11248609314907,16.873643072909186
flow_2_892,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10693282053231,16.873500754386423,41.10640317013077,16.873601328210643
flow_2_893,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10686700172243,16.87802885995844,41.10675372463437,16.87807636260086
flow_2_894,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10324733400062,16.87359019478166,41.102660798305045,16.873632821121205
flow_2_895,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10451407293564,16.87751035535627,41.10489776456013,16.87885407695273
flow_2_896,41.108799907038346,16.873969472771005,41.10814687352468,16.87402461599708,41.10750236910344,16.877554656305445,41.10745023270787,16.87741550407253
flow_2_897,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10781671041559,16.87181707243336,41.10771770975772,16.87321379705395
flow_2_898,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10450954428582,16.871651082575962,41.10456510973252,16.872477433605628
flow_2_899,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10353883851455,16.871655188195383,41.103515666810864,16.87044227855002
flow_2_900,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10445259405902,16.876042926170484,41.10436880868841,16.875761886209244
flow_2_901,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10836405905024,16.870571573316074,41.10880559118211,16.870655444350444
flow_2_902,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10814243673671,16.874186571324426,41.10813805327221,16.874870976018755
flow_2_903,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.10724146966218,16.87742479905898,41.10720934823202,16.87762157039797
flow_2_904,41.10652089382636,16.876334866043567,41.10710630189211,16.87604631348818,41.105709425071495,16.87508434379606,41.10600946787193,16.875045247470027
